Tray Code,Batch ID,Varietal,Harvest Date,Seeded Tray Quantity,Harvest Tray Quantity,Destroyed Trays,Total Harvest Yield (oz),Last Subzone
kal-mix-D-18Jul,kal-mix-D-18Jul22,"Kale, Mix (Scotch, Red Russian, Lacinato)",2022-08-03 10:01,138,138,0,498.5,PIPP1C1
miz-rst-D-18Jul-2,miz-rst-D-18Jul-222,"Mizuna, Red Streaks (D)",2022-08-03 10:54,18,18,0,74,PIPP4J3
kal-mix-D-18Jul-2,kal-mix-D-18Jul-222,"Kale, Mix (Scotch, Red Russian, Lacinato)",2022-08-03 10:35,54,53,1,103.5,PIPP3G5
fri-mix-D-19Jul,fri-mix-D-19Jul22,"Frill, Mix (D)",2022-08-03 10:18,45,45,0,187.5,PIPP1J1
fri-mix-D-19Jul-2,fri-mix-D-19Jul-222,"Frill, Mix (D)",2022-08-03 10:18,45,45,0,41.5,PIPP3C7
car-mcg-C-20Jul,car-mcg-C-20Jul22,Carrot micros (C),2022-08-03 10:51,5,5,0,20,PIPP3A1
rad-pur-B-25Jul,rad-pur-B-25Jul22,"Radish, Purple (B)",2022-08-03 10:11,12,12,0,56,PIPP3B1
aru-mcg-B-25Jul,aru-mcg-B-25Jul22,"Arugula, microgreens (B)",2022-08-03 8:17,20,20,0,101,PIPP3A5
sun-blk-B-26Jul-2,sun-blk-B-26Jul-222,"Sunflower, Black Oil (B)",2022-08-03 11:17,32,32,0,110,PIPP3A3
let-rom-D-12Jul-2,let-rom-D-12Jul-222,"Lettuce, Romaine 'Parris Island' (D)",2022-08-04 8:41,18,18,0,214.6,PIPP4F2
pea-gry-B-25Jul,pea-gry-B-25Jul22,"Peas, Dwarf Grey (B)",2022-08-04 9:52,18,18,0,219,PIPP3A4
koh-pur-B-27Jul,koh-pur-B-27Jul22,"Kohlrabi, Purple Vienna (B)",2022-08-04 9:25,9,9,0,36,PIPP3B4
mus-mix-B-27Jul,mus-mix-B-27Jul22,Mustard Micro Mix (B),2022-08-04 9:21,2,2,0,8,PIPP3B3
sun-blk-B-27Jul,sun-blk-B-27Jul22,"Sunflower, Black Oil (B)",2022-08-04 8:56,32,28,4,71,PIPP3A3
was-mus-B-27Jul,was-mus-B-27Jul22,Wasabi (B),2022-08-04 9:52,6,6,0,46,PIPP4A1
let-rom-D-13Jul-3,let-rom-D-13Jul-322,"Lettuce, Romaine 'Parris Island' (D)",2022-08-05 10:11,18,18,0,153,PIPP4F3
miz-rst-D-20Jul,miz-rst-D-20Jul22,"Mizuna, Red Streaks (D)",2022-08-05 10:20,12,12,0,53,PIPP1I5
kal-mix-D-20Jul,kal-mix-D-20Jul22,"Kale, Mix (Scotch, Red Russian, Lacinato)",2022-08-05 9:38,138,138,0,500.5,PIPP1D1
miz-rst-D-20Jul-2,miz-rst-D-20Jul-222,"Mizuna, Red Streaks (D)",2022-08-05 10:20,18,18,0,63.5,PIPP3J3
kal-mix-D-20Jul-2,kal-mix-D-20Jul-222,"Kale, Mix (Scotch, Red Russian, Lacinato)",2022-08-05 10:07,54,54,0,100,PIPP3G3
fri-mix-D-21Jul,fri-mix-D-21Jul22,"Frill, Mix (D)",2022-08-05 9:40,45,45,0,187.5,PIPP1K1
fri-mix-D-21Jul-2,fri-mix-D-21Jul-222,"Frill, Mix (D)",2022-08-05 9:51,45,45,0,94.5,PIPP3L1
pea-gry-B-26Jul-2,pea-gry-B-26Jul-222,"Peas, Dwarf Grey (B)",2022-08-05 10:32,9,9,0,81,PIPP4A4
rad-pur-B-27Jul,rad-pur-B-27Jul22,"Radish, Purple (B)",2022-08-05 10:40,12,12,0,15.5,PIPP4B2
aru-mcg-B-27Jul,aru-mcg-B-27Jul22,"Arugula, microgreens (B)",2022-08-05 10:04,20,20,0,69,PIPP4A5
bro-wal-B-28Jul,bro-wal-B-28Jul22,Broccoli Waltham 29 (B),2022-08-05 10:14,6,6,0,20,PIPP3A7
rad-dai-B-29Jul,rad-dai-B-29Jul22,"Radish, Daikon (B)",2022-08-05 10:48,12,12,0,43.5,PIPP3B2
rad-red-B-29Jul,rad-red-B-29Jul22,"Radish, Red Arrow (B)",2022-08-05 10:03,16,16,0,37.5,PIPP3B2
